   57.179, 0.1246, 0.7783,  3.45396,  3.63447,    90.00,  89.85,  16.26, 
   57.435, 0.1150, 0.7839,  3.15425,  3.62742,    90.00,  89.85,  42.60, 
   57.563, 0.1102, 0.7867,  2.81113,  3.62485,    90.00,  89.85,  73.24, 
   57.692, 0.1054, 0.7895,  2.19743,  3.62289,    90.00,  89.85, 128.30, 
   57.700, 0.1051, 0.7897,  2.14589,  3.62278,    90.00,  89.85, 132.92, 
   57.708, 0.1048, 0.7899,  2.08698,  3.62267,    90.00,  89.85, 138.22, 
   57.709, 0.1048, 0.7899,  2.08276,  3.62266,    90.00,  89.85, 138.60, 
   57.709, 0.1047, 0.7899,  2.08121,  3.62266,    90.00,  89.85, 138.73, 
   57.709, 0.1047, 0.7899,  2.07979,  3.62266,    90.00,  89.85, 138.86, 
   57.709, 0.1047, 0.7899,  2.07966,  3.62266,    90.00,  89.85, 138.87, 
 mass is   0.816565
 energy is   51.336024
 power is   53.3737131
 259 this time step did not converge
 Solid concentration driven to zero.
 Consider changing vcut or the current density.
  
 dV/dt at point of failure is (V/s) -0.713987721
 Moving on to next leg if not the last
  
 comp 7 not converged
 comp 15 not converged
 

     this run just did not converge


